,Query,AvgTime,Records
0,query7h,0.018244,5
1,query7g,0.003381,2
2,query7f,0.008978,2
3,query7e,0.014832,958
4,query7d,0.002629,4
5,query7c,0.003376,1
6,query7b,0.002573,8
7,query7a,0.04662,6501
8,query6e,0.012865,599
9,query6d,0.002707,4
10,query6c,0.012189,997
11,query6b,0.011296,2
12,query6a,0.003068,2
13,query4b,0.029818,1289
14,query4a,0.033661,1496
15,query2d,0.00267,3
16,query2c,0.072816,4065
17,query2b,0.059594,40
18,query2a,0.012208,86
19,query1b,0.370687,100200
20,query1a,0.215863,100200
