,Query,AvgTime,Records
0,query7h,0.018941299999999998,5
1,query7g,0.0032417999999999995,2
2,query7f,0.0086267,2
3,query7e,0.0191465,958
4,query7cb,0.0030058999999999997,5
5,query7ca,0.0041897,1
6,query7b,0.0032933000000000003,8
7,query7a,0.069379,6501
8,query6e,0.016897300000000004,599
9,query6c,0.0157097,997
10,query6b,0.010356899999999999,2
11,query6a,0.0028161,2
12,query4b,0.0370025,1289
13,query4a,0.039666400000000004,1496
14,query2d,0.0031658000000000007,3
15,query2c,0.0973609,4065
16,query2b,0.0574365,40
17,query2a,0.012743299999999999,86
18,query1b,0.8813997,100200
19,query1a,0.8948877000000002,100200
